Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0649144	rtr-12	0	5	LastDelay	0.0149144	14914.4	1	5
0.0649144	rtr-12	0	5	FullDelay	0.0149144	14914.4	1	5
0.0666384	rtr-30	0	6	LastDelay	0.0066384	6638.4	1	3
0.0666384	rtr-30	0	6	FullDelay	0.0066384	6638.4	1	3
0.0666384	rtr-5	0	6	LastDelay	0.0066384	6638.4	1	3
0.0666384	rtr-5	0	6	FullDelay	0.0066384	6638.4	1	3
0.0666384	rtr-29	0	6	LastDelay	0.0066384	6638.4	1	3
0.0666384	rtr-29	0	6	FullDelay	0.0066384	6638.4	1	3
0.0684936	rtr-2	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-2	0	6	FullDelay	0.00849359	8493.59	1	4
0.0684936	rtr-32	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-32	0	6	FullDelay	0.00849359	8493.59	1	4
0.0684936	rtr-28	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-28	0	6	FullDelay	0.00849359	8493.59	1	4
0.0684936	rtr-4	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-4	0	6	FullDelay	0.00849359	8493.59	1	4
0.0684936	rtr-6	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-6	0	6	FullDelay	0.00849359	8493.59	1	4
0.0684936	rtr-7	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-7	0	6	FullDelay	0.00849359	8493.59	1	4
0.0684936	rtr-9	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-9	0	6	FullDelay	0.00849359	8493.59	1	4
0.0684936	rtr-15	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-15	0	6	FullDelay	0.00849359	8493.59	1	4
0.0684936	rtr-16	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-16	0	6	FullDelay	0.00849359	8493.59	1	4
0.0684936	rtr-27	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-27	0	6	FullDelay	0.00849359	8493.59	1	4
0.0684936	rtr-37	0	6	LastDelay	0.00849359	8493.59	1	4
0.0684936	rtr-37	0	6	FullDelay	0.00849359	8493.59	1	4
0.0703488	rtr-8	0	6	LastDelay	0.0103488	10348.8	1	5
0.0703488	rtr-8	0	6	FullDelay	0.0103488	10348.8	1	5
0.0703488	rtr-22	0	6	LastDelay	0.0103488	10348.8	1	5
0.0703488	rtr-22	0	6	FullDelay	0.0103488	10348.8	1	5
0.0703488	rtr-21	0	6	LastDelay	0.0103488	10348.8	1	5
